gene	GM_rep1	GM_rep2	GM_rep3	GM_rep4	OM_rep1	OM_rep2	OM_rep3	OM_rep4
Ar	24.5704825962392	25.1214593660955	24.5704825962392	25.1214593660955	27.5027061173626	23.3787240287429	27.5027061173626	23.3787240287429
Ascl2	24.5704825962392	25.1214593660955	24.5704825962392	25.1214593660955	27.5027061173626	25.4415526195143	27.5027061173626	25.4415526195143
Atf6	43.4708538241154	30.3190026832188	43.4708538241154	30.3190026832188	49.8486548377197	50.1954957087715	49.8486548377197	50.1954957087715
Atf6b	44.4158723855092	32.0515171222598	44.4158723855092	32.0515171222598	48.1297357053845	50.8831052390286	48.1297357053845	50.8831052390286
Bbx	18.9003712278763	17.3251443904107	18.9003712278763	17.3251443904107	15.4702721910164	15.8150191959143	15.4702721910164	15.8150191959143
Bcl6	18.9003712278763	19.9239160489723	18.9003712278763	19.9239160489723	17.1891913233516	19.2530668472	17.1891913233516	19.2530668472
E2f6	40.635798139934	33.7840315613009	40.635798139934	33.7840315613009	48.1297357053845	51.5707147692858	48.1297357053845	51.5707147692858
E2f7	46.3059095082969	38.1153176589036	46.3059095082969	38.1153176589036	55.0054122347251	57.7592005416	55.0054122347251	57.7592005416
Egr2	45.3608909469031	34.6502887808214	45.3608909469031	34.6502887808214	56.7243313670603	55.6963719508286	56.7243313670603	55.6963719508286
Elf5	40.635798139934	35.516546000342	40.635798139934	35.516546000342	42.972978308379	40.5689622851715	42.972978308379	40.5689622851715
Fezf1	19.8453897892701	20.7901732684929	19.8453897892701	20.7901732684929	18.9081104556868	18.5654573169429	18.9081104556868	18.5654573169429
Fezf2	19.8453897892701	20.7901732684929	19.8453897892701	20.7901732684929	18.9081104556868	18.5654573169429	18.9081104556868	18.5654573169429
Figla	18.9003712278763	23.3889449270545	18.9003712278763	23.3889449270545	20.6270295880219	20.6282859077143	20.6270295880219	20.6282859077143
Foxm1	33.0756496487835	33.7840315613009	33.0756496487835	33.7840315613009	32.659463514368	38.5061336944	32.659463514368	38.5061336944
Gata1	16.0653155436948	16.4588871708902	16.0653155436948	16.4588871708902	12.0324339263461	11.0017524841143	12.0324339263461	11.0017524841143
Gata2	17.0103341050886	15.5926299513696	17.0103341050886	15.5926299513696	15.4702721910164	12.3769715446286	15.4702721910164	12.3769715446286
Gata3	17.9553526664825	17.3251443904107	17.9553526664825	17.3251443904107	15.4702721910164	13.0645810748857	15.4702721910164	13.0645810748857
Gata4	16.0653155436948	18.1914016099313	16.0653155436948	18.1914016099313	17.1891913233516	14.4398001354	17.1891913233516	14.4398001354
Gata5	17.9553526664825	20.7901732684929	17.9553526664825	20.7901732684929	20.6270295880219	17.8778477866857	20.6270295880219	17.8778477866857
Gata6	19.8453897892701	18.1914016099313	19.8453897892701	18.1914016099313	17.1891913233516	15.1274096656572	17.1891913233516	15.1274096656572
Grhl2	19.8453897892701	20.7901732684929	19.8453897892701	20.7901732684929	25.7837869850274	22.6911144984857	25.7837869850274	22.6911144984857
Hsf1	30.240593964602	32.0515171222598	30.240593964602	32.0515171222598	29.2216252496977	32.3176479220857	29.2216252496977	32.3176479220857
Ikzf1	24.5704825962392	25.1214593660955	24.5704825962392	25.1214593660955	24.0648678526922	25.4415526195143	24.0648678526922	25.4415526195143
Ikzf2	24.5704825962392	25.1214593660955	24.5704825962392	25.1214593660955	24.0648678526922	25.4415526195143	24.0648678526922	25.4415526195143
Ikzf3	26.4605197190268	24.255202146575	26.4605197190268	24.255202146575	29.2216252496977	30.9424288615715	29.2216252496977	30.9424288615715
Insm1	39.6907795785402	38.1153176589036	39.6907795785402	38.1153176589036	48.1297357053845	48.8202766482572	48.1297357053845	48.8202766482572
Klf1	56.7011136836288	39.8478320979447	56.7011136836288	39.8478320979447	65.3189270287361	63.2600767836572	65.3189270287361	63.2600767836572
Klf15	46.3059095082969	37.2490604393831	46.3059095082969	37.2490604393831	55.0054122347251	56.3839814810858	55.0054122347251	56.3839814810858
Klf3	56.7011136836288	42.4466037565063	56.7011136836288	42.4466037565063	68.7567652934064	68.7609530257143	68.7567652934064	68.7609530257143
Klf4	57.6461322450226	40.7140893174652	57.6461322450226	40.7140893174652	68.7567652934064	68.0733434954572	68.7567652934064	68.0733434954572
Klf5	51.9760208766598	38.9815748784241	51.9760208766598	38.9815748784241	63.6000078964009	62.5724672534	63.6000078964009	62.5724672534
Klf6	50.0859837538721	39.8478320979447	50.0859837538721	39.8478320979447	61.8810887640658	61.8848577231429	61.8810887640658	61.8848577231429
Lyl1	31.1856125259959	28.5864882441777	31.1856125259959	28.5864882441777	34.3783826467032	32.3176479220857	34.3783826467032	32.3176479220857
Maff	19.8453897892701	23.3889449270545	19.8453897892701	23.3889449270545	20.6270295880219	15.8150191959143	20.6270295880219	15.8150191959143
Maz	41.5808167013278	36.3828032198625	41.5808167013278	36.3828032198625	49.8486548377197	50.1954957087715	49.8486548377197	50.1954957087715
Mitf	36.8557238943587	27.7202310246572	36.8557238943587	27.7202310246572	36.0973017790384	35.0680860431143	36.0973017790384	35.0680860431143
Mtf1	36.8557238943587	30.3190026832188	36.8557238943587	30.3190026832188	42.972978308379	45.3822289969715	42.972978308379	45.3822289969715
Mxd1	32.1306310873897	33.7840315613009	32.1306310873897	33.7840315613009	39.5351400437087	43.3194004062	39.5351400437087	43.3194004062
Mxi1	32.1306310873897	33.7840315613009	32.1306310873897	33.7840315613009	39.5351400437087	43.3194004062	39.5351400437087	43.3194004062
Myf5	25.515501157633	24.255202146575	25.515501157633	24.255202146575	27.5027061173626	25.4415526195143	27.5027061173626	25.4415526195143
Mynn	17.0103341050886	15.5926299513696	17.0103341050886	15.5926299513696	15.4702721910164	15.8150191959143	15.4702721910164	15.8150191959143
Nfat5	16.0653155436948	17.3251443904107	16.0653155436948	17.3251443904107	15.4702721910164	15.8150191959143	15.4702721910164	15.8150191959143
Nfib	26.4605197190268	24.255202146575	26.4605197190268	24.255202146575	25.7837869850274	26.1291621497714	25.7837869850274	26.1291621497714
Nfkb1	32.1306310873897	32.9177743417804	32.1306310873897	32.9177743417804	39.5351400437087	41.2565718154286	39.5351400437087	41.2565718154286
Nfkb2	33.0756496487835	32.9177743417804	33.0756496487835	32.9177743417804	41.2540591760439	41.2565718154286	41.2540591760439	41.2565718154286
Nhlh2	25.515501157633	25.9877165856161	25.515501157633	25.9877165856161	30.9405443820329	28.1919907405429	30.9405443820329	28.1919907405429
Nkx21	24.5704825962392	22.5226877075339	24.5704825962392	22.5226877075339	25.7837869850274	22.0035049682286	25.7837869850274	22.0035049682286
Nkx22	17.9553526664825	18.1914016099313	17.9553526664825	18.1914016099313	17.1891913233516	13.7521906051429	17.1891913233516	13.7521906051429
Nkx23	16.0653155436948	18.1914016099313	16.0653155436948	18.1914016099313	15.4702721910164	11.6893620143714	15.4702721910164	11.6893620143714
Nkx24	17.9553526664825	17.3251443904107	17.9553526664825	17.3251443904107	13.7513530586813	12.3769715446286	13.7513530586813	12.3769715446286
Nkx26	17.9553526664825	18.1914016099313	17.9553526664825	18.1914016099313	15.4702721910164	13.7521906051429	15.4702721910164	13.7521906051429
Nkx29	18.9003712278763	20.7901732684929	18.9003712278763	20.7901732684929	18.9081104556868	15.1274096656572	18.9081104556868	15.1274096656572
Nr1d2	23.6254640348453	25.1214593660955	23.6254640348453	25.1214593660955	24.0648678526922	22.6911144984857	24.0648678526922	22.6911144984857
Olig2	22.6804454734515	24.255202146575	22.6804454734515	24.255202146575	22.3459487203571	24.066333559	22.3459487203571	24.066333559
Pax5	37.8007424557525	33.7840315613009	37.8007424557525	33.7840315613009	44.6918974407142	47.4450575877429	44.6918974407142	47.4450575877429
Pbx2	19.8453897892701	17.3251443904107	19.8453897892701	17.3251443904107	20.6270295880219	15.8150191959143	20.6270295880219	15.8150191959143
Pbx4	28.3505568418144	25.9877165856161	28.3505568418144	25.9877165856161	30.9405443820329	30.2548193313143	30.9405443820329	30.2548193313143
Ppara	20.7904083506639	23.3889449270545	20.7904083506639	23.3889449270545	22.3459487203571	22.6911144984857	22.3459487203571	22.6911144984857
Pparg	23.6254640348453	23.3889449270545	23.6254640348453	23.3889449270545	22.3459487203571	24.066333559	22.3459487203571	24.066333559
Prdm16	26.4605197190268	25.9877165856161	26.4605197190268	25.9877165856161	30.9405443820329	28.8796002708	30.9405443820329	28.8796002708
Prdm5	32.1306310873897	32.0515171222598	32.1306310873897	32.0515171222598	34.3783826467032	35.0680860431143	34.3783826467032	35.0680860431143
Rbpj	22.6804454734515	22.5226877075339	22.6804454734515	22.5226877075339	22.3459487203571	23.3787240287429	22.3459487203571	23.3787240287429
Rbpjl	20.7904083506639	22.5226877075339	20.7904083506639	22.5226877075339	22.3459487203571	22.0035049682286	22.3459487203571	22.0035049682286
Rreb1	31.1856125259959	31.1852599027393	31.1856125259959	31.1852599027393	32.659463514368	31.6300383918286	32.659463514368	31.6300383918286
Sp5	46.3059095082969	38.9815748784241	46.3059095082969	38.9815748784241	56.7243313670603	56.3839814810858	56.7243313670603	56.3839814810858
Stat1	17.0103341050886	18.1914016099313	17.0103341050886	18.1914016099313	15.4702721910164	15.8150191959143	15.4702721910164	15.8150191959143
Stat2	16.0653155436948	18.1914016099313	16.0653155436948	18.1914016099313	13.7513530586813	15.1274096656572	13.7513530586813	15.1274096656572
T	28.3505568418144	31.1852599027393	28.3505568418144	31.1852599027393	27.5027061173626	21.3158954379714	27.5027061173626	21.3158954379714
Tal1	24.5704825962392	21.6564304880134	24.5704825962392	21.6564304880134	24.0648678526922	17.8778477866857	24.0648678526922	17.8778477866857
Tal2	31.1856125259959	28.5864882441777	31.1856125259959	28.5864882441777	34.3783826467032	32.3176479220857	34.3783826467032	32.3176479220857
Tcf7	16.0653155436948	16.4588871708902	16.0653155436948	16.4588871708902	12.0324339263461	13.0645810748857	12.0324339263461	13.0645810748857
Trps1	21.7354269120577	17.3251443904107	21.7354269120577	17.3251443904107	18.9081104556868	15.8150191959143	18.9081104556868	15.8150191959143
