ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	richFactor	BgRatio_num	GeneRatio_num
GO:0072210	metanephric nephron development	4/452	38/28891	0.00286532541772353	0.0325057191443575	0.0261888536254063	Pdgfra/Wnt4/Pdgfb/Foxd1	4	0.105263157894737	38	4
GO:2000117	negative regulation of cysteine-type endopeptidase activity	6/452	90/28891	0.00292200544517927	0.0330479703997327	0.0266257287085924	Cst3/Gas6/Birc5/Wnt9a/Cdkn2d/Arrb1	6	0.0666666666666667	90	6
GO:2000241	regulation of reproductive process	10/452	225/28891	0.00303096340062066	0.0341764085263924	0.027534876443278	Cdc20/Fbxo5/Aurka/Rad51ap1/Pkmyt1/Shb/Aspm/Ttk/Fanca/Wnt4	10	0.0444444444444444	225	10
GO:0071676	negative regulation of mononuclear cell migration	3/452	19/28891	0.00305916990831137	0.0341946702461867	0.0275495893467064	Nbl1/Gcsam/Cd200	3	0.157894736842105	19	3
GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation	9/452	189/28891	0.00305976521445714	0.0341946702461867	0.0275495893467064	Igf2/Pdgfra/Plcg2/Fgfr3/Crlf1/Ighm/Tnk2/Pdgfb/Kitl	9	0.0476190476190476	189	9
GO:0045744	negative regulation of G protein-coupled receptor signaling pathway	5/452	63/28891	0.00306015189249668	0.0341946702461867	0.0275495893467064	Stmn1/Apln/Arrb1/Pde4b/Rgs14	5	0.0793650793650794	63	5
GO:0042692	muscle cell differentiation	16/452	468/28891	0.00313972896943323	0.0349273222807086	0.0281398644550724	Igf2/Pmp22/Cfh/Dock1/Tcf23/Fhl2/Cxcl12/Pdgfra/Tmem204/Smad6/Actn3/Neurl2/Wnt4/Comp/Pdgfb/Adamts15	16	0.0341880341880342	468	16
GO:0036293	response to decreased oxygen levels	11/452	264/28891	0.00315262101022311	0.0349273222807086	0.0281398644550724	Ptgis/Aldh3a1/Egln1/Tacc3/Bnip3/Egln3/Higd1a/Pgk1/Pygm/Pdk1/Mgarp	11	0.0416666666666667	264	11
GO:0040020	regulation of meiotic nuclear division	4/452	39/28891	0.00315387806673423	0.0349273222807086	0.0281398644550724	Cdc20/Fbxo5/Rad51ap1/Wnt4	4	0.102564102564103	39	4
GO:0031667	response to nutrient levels	15/452	427/28891	0.00324650846307252	0.0358464628815812	0.0288803876396394	Gas6/Cfh/Bglap/Bglap2/Kat2b/Vdr/Spp1/Slc2a1/Alpl/Cdkn2d/Higd1a/Wnt4/Clic5/Map3k5/Rragd	15	0.0351288056206089	427	15
GO:0032963	collagen metabolic process	7/452	123/28891	0.00328536675543319	0.0361681943697246	0.0291395967594947	Mmp13/Cst3/Fgfr3/Tnxb/Wnt4/Pdgfb/Mmp16	7	0.0569105691056911	123	7
GO:0048477	oogenesis	7/452	124/28891	0.00343618930150627	0.0376528718143166	0.0303357555063505	Fbxo5/Aurka/Ccnb1/Shb/Aspm/Wnt4/Nanos1	7	0.0564516129032258	124	7
GO:0050848	regulation of calcium-mediated signaling	6/452	93/28891	0.00344046665328343	0.0376528718143166	0.0303357555063505	Egln1/Fhl2/Pdgfra/Plcg2/Cmya5/Actn3	6	0.0645161290322581	93	6
GO:0060236	regulation of mitotic spindle organization	4/452	40/28891	0.00346162288729116	0.0377733101572153	0.0304327889581887	Tpx2/Tacc3/Plk1/Stil	4	0.1	40	4
GO:0061620	glycolytic process through glucose-6-phosphate	3/452	20/28891	0.00355758945063955	0.0387069893152917	0.0311850254091149	Tpi1/Pfkl/Pgk1	3	0.15	20	3
GO:0006112	energy reserve metabolic process	6/452	94/28891	0.00362760377332398	0.0392392838387748	0.0316138786610364	Igf2/Adgrf5/Ppp1r3b/Pygm/Ppp1r3c/Epm2a	6	0.0638297872340425	94	6
GO:1903035	negative regulation of response to wounding	6/452	94/28891	0.00362760377332398	0.0392392838387748	0.0316138786610364	Adamts18/Pdgfra/Wfdc1/Serping1/Wnt4/Pdgfb	6	0.0638297872340425	94	6
GO:0043542	endothelial cell migration	10/452	231/28891	0.00365285630168715	0.03939790811182	0.03174167733701	Igf2/Adamts9/Cxcl12/Sema5a/Sparc/Bmper/Sh3bp1/Sema4a/Pdgfb/Jup	10	0.0432900432900433	231	10
GO:0070507	regulation of microtubule cytoskeleton organization	8/452	159/28891	0.00367500684033123	0.0395222556441402	0.0318418603019877	Tpx2/Tacc3/Stmn1/Ckap2/Plk1/Spag5/Stil/Ska1	8	0.050314465408805	159	8
GO:0006284	base-excision repair	4/452	41/28891	0.00378915385069505	0.040399545783485	0.032548665862704	Rpa1/Lig1/Neil3/Pole	4	0.0975609756097561	41	4
GO:0032885	regulation of polysaccharide biosynthetic process	4/452	41/28891	0.00378915385069505	0.040399545783485	0.032548665862704	Igf2/Ppp1r3b/Ppp1r3c/Pdgfb	4	0.0975609756097561	41	4
GO:0040001	establishment of mitotic spindle localization	4/452	41/28891	0.00378915385069505	0.040399545783485	0.032548665862704	Nusap1/Cenpa/Plk1/Sapcd2	4	0.0975609756097561	41	4
GO:0072001	renal system development	13/452	352/28891	0.00392538707940317	0.0417324723498834	0.0336225636154593	Cfh/Pdgfra/Spp1/Bmper/Crlf1/Smad6/Pdgfd/Cenpf/Wnt4/Cys1/Pdgfb/Foxd1/Aqp11	13	0.0369318181818182	352	13
GO:0043467	regulation of generation of precursor metabolites and energy	8/452	161/28891	0.00396315675966106	0.042013978070367	0.0338493640771171	Igf2/Bnip3/Kat2b/Ppp1r3b/Ccnb1/Cdk1/Actn3/Ppp1r3c	8	0.0496894409937888	161	8
GO:0006956	complement activation	5/452	67/28891	0.0039965860039284	0.0421283187552906	0.0339414848343166	Cfh/C1rl/Ighm/Serping1/Cd59a	5	0.0746268656716418	67	5
GO:0048599	oocyte development	5/452	67/28891	0.0039965860039284	0.0421283187552906	0.0339414848343166	Fbxo5/Aurka/Ccnb1/Shb/Wnt4	5	0.0746268656716418	67	5
GO:0050810	regulation of steroid biosynthetic process	6/452	96/28891	0.00402441157485493	0.0423017951130937	0.0340812493761131	Igf2/Bglap/Bglap2/Insig2/Wnt4/Star	6	0.0625	96	6
GO:0030336	negative regulation of cell migration	12/452	313/28891	0.0040892847231394	0.0424010003677218	0.0341611759847443	Adamts9/Nbl1/Adarb1/Ifitm1/Cxcl12/Gcsam/Rin3/Srgap1/Cd200/Wnt4/Pdgfb/Jup	12	0.0383386581469649	313	12
GO:0051261	protein depolymerization	7/452	128/28891	0.00409280211048619	0.0424010003677218	0.0341611759847443	Tpx2/Stmn1/Sema5a/Ckap2/Kif2c/Sh3bp1/Kif18b	7	0.0546875	128	7
GO:2000278	regulation of DNA biosynthetic process	7/452	128/28891	0.00409280211048619	0.0424010003677218	0.0341611759847443	Aurkb/Ccna2/Nek2/Chtf18/Rfc5/Dscc1/Pdgfb	7	0.0546875	128	7
GO:0045836	positive regulation of meiotic nuclear division	3/452	21/28891	0.00410277628679778	0.0424010003677218	0.0341611759847443	Fbxo5/Rad51ap1/Wnt4	3	0.142857142857143	21	3
GO:0051443	positive regulation of ubiquitin-protein transferase activity	3/452	21/28891	0.00410277628679778	0.0424010003677218	0.0341611759847443	Cdc20/Plk1/Mastl	3	0.142857142857143	21	3
GO:0045667	regulation of osteoblast differentiation	8/452	162/28891	0.00411361492414608	0.0424010003677218	0.0341611759847443	Lrp5/Ifitm1/Fbxo5/Ranbp3l/Smad6/Scube3/Wnt4/Gli1	8	0.0493827160493827	162	8
GO:0071453	cellular response to oxygen levels	8/452	162/28891	0.00411361492414608	0.0424010003677218	0.0341611759847443	Ptgis/Egln1/Bnip3/Egln3/Higd1a/Pgk1/Pdk1/Mgarp	8	0.0493827160493827	162	8
GO:0030866	cortical actin cytoskeleton organization	4/452	42/28891	0.00413705489176638	0.0424076618519633	0.034166542936786	Racgap1/Anln/Ect2/Iqgap3	4	0.0952380952380952	42	4
GO:0071827	plasma lipoprotein particle organization	4/452	42/28891	0.00413705489176638	0.0424076618519633	0.034166542936786	Pltp/Lipc/Pla2g5/Abca1	4	0.0952380952380952	42	4
GO:0000271	polysaccharide biosynthetic process	5/452	68/28891	0.00425944542031662	0.0434230038602689	0.0349845726231052	Igf2/Ppp1r3b/Ppp1r3c/Epm2a/Pdgfb	5	0.0735294117647059	68	5
GO:1900046	regulation of hemostasis	5/452	68/28891	0.00425944542031662	0.0434230038602689	0.0349845726231052	Adamts18/Pdgfra/Serping1/Comp/Pdgfb	5	0.0735294117647059	68	5
GO:0006091	generation of precursor metabolites and energy	16/452	484/28891	0.00433266603385128	0.0440487713441547	0.0354887341513042	Igf2/Bnip3/Kat2b/Adgrf5/Tpi1/Pgam1/Pfkl/Ppp1r3b/Ccnb1/Cdk1/Pgk1/Actn3/Pygm/Ppp1r3c/Epm2a/Mtfr2	16	0.0330578512396694	484	16
GO:0051294	establishment of spindle orientation	4/452	43/28891	0.00450589936456381	0.0454375380366991	0.0366076205684717	Cenpa/Plk1/Spag5/Sapcd2	4	0.0930232558139535	43	4
GO:0070884	regulation of calcineurin-NFAT signaling cascade	4/452	43/28891	0.00450589936456381	0.0454375380366991	0.0366076205684717	Fhl2/Plcg2/Cmya5/Actn3	4	0.0930232558139535	43	4
GO:2000403	positive regulation of lymphocyte migration	4/452	43/28891	0.00450589936456381	0.0454375380366991	0.0366076205684717	Cxcl12/Spn/Jam2/Dock8	4	0.0930232558139535	43	4
